Occurrences Lemma
4239 l - suffixes
4218 3588 a - particle or suffix?
4019 1121 a - inflected
3269 3605
3025 c/559
2260 3478
1993 430
1772 c/1961
1661 1961
1633 6213 a
1592 c/3808
1362 b
1356 376
1302 559
1269 935
1187 1931
1122 1004 b
1114 5414
1113 4428
1083 d/4428
1059 4480 a
1038 5704
1012 l/6440
 994 1
 985 c/935
 981 d/776
 936 l/559
 900 5973 a
 866 1697
 846 1732
 815 d/5971 a
 783 8085
 749 c/3605
 746 c/5414
 746 3027
 740 854
 731 3117
 726 4872
 703 1696
 699 d/2088
 693 776
 693 589
 692 c/6213 a
 682 5971 a
 681 3063
 676 259
 674 7200
 671 8033
 662 b/3117
 645 8141
 641 518 a
 635 3045
 630 6440
 605 5650
 601 3427
 595 d/3117
 577 l/3068
 576 5315
 576 408
 554 3541
 546 b/3027
 544 c/5921 a
 540 3318
 539 310 a
 537 d/3548
 537 8147
 535 859 a
 532 7725
 521 8034
 508 1571
 500 c/3947
 499 3651 c
 496 k/834 d
 488 c/7200
 484 b/776
 481 398
 473 2009
 466 4714
 464 4191
 464 3967
 463 3820 a
 460 369
 456 3212
 455 251
 453 c/3212
 453 b/3605
 451 5927
 449 4100
 445 505
 440 d/1931
 438 802
 429 5750
 428 c/7725
 424 136
 423 8478
 420 3947
 405 7971
 403 4994
 398 6680
 395 1992
 390 d/5892 b
 390 1323
 388 c/3318
 387 c/7971
 387 7218 a
 386 5375
 377 5892 b
 375 1870
 373 5002
 372 1980
 370 c/2009
 369 7227 a
 365 d/430
 359 c/1121 a
 352 7586
 351 d/1697
 350 c/7121
 350 7121
 350 5869 a
 350 3389
 344 c/413
 341 1419 a
 338 120
 337 6240
 333 4310
 332 l/3605
 332 1768
 331 c/1696
 328 5674 a
 326 4325
 324 c/3427
 324 b/5869 a
 322 c/5927
 320 428
 320 176 a
 318 6965 b
 315 2088
 310 b/8432
 308 7969
 306 3069
 305 4672
 301 2005
 300 m/5921 a
 300 3205
 296 m/6440
 293 7651
 293 595
 293 3966
 282 6635 b
 282 5439
 281 8104
 279 c/518 a
 277 2896 a
 276 d/428
 274 3290
 273 c/6258
 272 i/3808
 272 8269
 271 d/2063
 271 7760 a
 271 7307
 271 113
 270 6944
 269 c/7760 a
 266 6310
 265 c/6965 b
 265 c/369
 265 5975
 263 175
 261 c/5221
 260 c/1931
 260 6963 a
 257 d/1004 b
 255 l/1121 a
 255 c/4191
 254 4616
 251 2063
 250 c/8085
 249 c/1571
 248 d/376
 247 d/8064
 246 2091
 244 c/3045
 243 l/6213 a
 242 8010
 240 c/398
 235 996
 235 3701
 231 m/3605
 231 894
 231 6547
 231 3899
 229 5307
 229 341
 224 c/5704
 223 5769
 221 3372
 218 4941
 218 2719
